Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,CB Rank (Company),Number of Funding Rounds,LinkedIn,Website,Founders
TakeTask,https://www.crunchbase.com/organization/taketask,"Crowdsourcing, Market Research, Productivity Tools, SaaS, Task Management","Warsaw, Mazowieckie, Poland","TakeTask is a mobile application used to assign, execute and verify tasks on a large scale in many locations, for any industry.",2000000,PLN,510095,Series A,"23,182",3,https://www.linkedin.com/company/9277783/,http://www.taketask.com/,"Marcin Dobek, Piotr Rybiński, Sebastian Starzyński"
iTrust PRO,https://www.crunchbase.com/organization/itrust-pro,"Information Technology, SaaS, Software","Atlanta, Georgia, United States",iTrust PRO helps independent contractors and other SMBs generate their own leads and manage their business.,510000,USD,510000,Seed,"64,616",1,https://www.linkedin.com/company/itrust-pro/,https://www.itrustpro.com/,Janakan Rajendran
GrowIN Portugal,https://www.crunchbase.com/organization/growin-portugal,"Advice, Consulting, Internet, Software","Faro, Faro, Portugal","Company as a Service Platform that helps Entrepreneurs Incorporate, Accelerate, Fund and Move their Startups to Portugal.",450000,EUR,509602,Seed,"71,992",1,https://www.linkedin.com/company/growinportugal,https://www.growinportugal.com,Anas El Arras
SeedLinked,https://www.crunchbase.com/organization/seedlinked,"Agriculture, E-Commerce Platforms, Software","Viroqua, Wisconsin, United States",SeedLinked is an ag-tech crowdsourced data platform which cultivates relationships between regional plant growers and seed companies.,500000,USD,500000,Seed,"11,669",3,https://www.linkedin.com/company/seedlinked/,http://www.seedlinked.com/,
Wisy,https://www.crunchbase.com/organization/wisyapp,"Analytics, Artificial Intelligence, Consumer Goods, Enterprise Software, Fast-Moving Consumer Goods, Grocery, SaaS, Sales","San Francisco, California, United States",Remote frontline coordination and task automation with AI,500000,USD,500000,Seed,"17,211",2,https://www.linkedin.com/company/wisyai/,https://wisy.ai/,"Min Chen, Nélida Gómez, Orlando Reyes, Ricardo Chen"
EPA USA Inc.,https://www.crunchbase.com/organization/epa-usa-inc,"Consulting, Debt Collections, FinTech, Software","Phoenix, Arizona, United States",Improving Receivables Management Performance with Proprietary Software and Analytics,500000,USD,500000,Series A,"24,923",1,https://linkedin.com/company/epausa,http://epa-usa.com,Kamil Knap
Mogul - Humanizing Travel,https://www.crunchbase.com/organization/staymogul,Software,"Santa Monica, California, United States","Mogul is a people driven technology company that provides booking, service and talent solutions for the hospitality industry",500000,USD,500000,Seed,"25,213",2,,http://www.staymogul.com,Alexander Mirza
kaam.work,https://www.crunchbase.com/organization/kaam-work,"Big Data, Human Resources, Software","San Francisco, California, United States",Hire the right Data Scientist.  Fast!,500000,USD,500000,Seed,"26,361",1,https://www.linkedin.com/company/kaamwork/,https://www.kaam.work,"Byron Fuller, Nilesh Parwani, Prateek Mishra"
aDolus,https://www.crunchbase.com/organization/adolus-inc,"Cyber Security, Industrial Automation, Internet of Things, Software","Nanaimo, British Columbia, Canada","aDolus provides a cloud platform to safeguard critical infrastructure, brokering information about ICS and IoT software and firmware.",500000,USD,500000,Seed,"26,442",2,https://www.linkedin.com/company/adolus/,http://www.adolus.com,"Billy Rios, Eric Byres, Jonathan Butts, Loïc Triger"
Coflyt,https://www.crunchbase.com/organization/coflyt,"Aerospace, Software","Pensacola, Florida, United States",Coflyt is an intelligent aircraft software that provides peace of mind by streamlining communication for aircraft owners.,500000,USD,500000,Seed,"28,065",1,https://www.linkedin.com/company/coflyt/,https://coflyt.com,"Eric Hill, Tal Clark"
Diana AI,https://www.crunchbase.com/organization/diana-ai,Software,"San Francisco, California, United States",Diana AI is Voice enabled Analytics platform.,500000,USD,500000,Seed,"32,699",2,https://www.linkedin.com/company/diana-ai/,https://www.dianaai.com,"Geeta Banda, Teja Nanduri"
Kairos IoT,https://www.crunchbase.com/organization/kairos-iot,"Analytics, Artificial Intelligence, InsurTech, SaaS, Smart Building, Smart Home, Telecommunications","Atlanta, Georgia, United States","IoT, Saas, Digital Water Technology, Advanced Metering, Leak Detection.",500000,USD,500000,Seed,"37,411",1,https://www.linkedin.com/company/kairos-iot-water-controls,https://www.kairoswater.io,
Selldone,https://www.crunchbase.com/organization/samin,"Cloud Data Services, Developer Tools, E-Commerce, E-Commerce Platforms, Information Technology, SaaS, Small and Medium Businesses, Web Development","London, England, United Kingdom","E-commerce platform and store builder, Selldone covers physical, services, files, and virtual products.+ AI, SEO engine, and IOT integrated.",500000,USD,500000,Seed,"40,376",1,https://www.linkedin.com/company/selldone,https://selldone.com,Mehrdad Ghasemizadeh
The Perk,https://www.crunchbase.com/organization/the-perk,"Human Resources, SaaS, Software","Vancouver, British Columbia, Canada",The Perk is a SaaS product that helps employers increase engagement and eliminate turnover.,500000,USD,500000,Seed,"40,481",1,https://www.linkedin.com/company/getperk,https://www.getperk.co/,Dallas Fontaine
Goods Unite Us,https://www.crunchbase.com/organization/goods-unite-us-inc,"E-Commerce, Information Technology, Internet, Mobile, Software","Madison, Wisconsin, United States",Goods Unite Us is an App and website focused on helping consumers shop in alignment with their social and political beliefs. ,500000,USD,500000,Seed,"41,664",1,,http://www.goodsuniteus.com,"Abigail Wuest, Amy Jo Miller, Brian Potts"
Culinda,https://www.crunchbase.com/organization/culinda,"Health Care, Information Technology, Software","Irvine, California, United States",Our Mission is to Secure Medical Devices in Hospitals from Cyber Attacks,500000,USD,500000,Seed,"45,029",1,https://www.linkedin.com/company/culinda,http://culinda.com,"Sreekant Gotti, Uma Mahesh Reddy"
Fullvision,https://www.crunchbase.com/organization/fullvision-io,"Bitcoin, Blockchain, Cryptocurrency, Finance, FinTech, Information Services, Internet, Software, Stock Exchanges","London, England, United Kingdom",Fullvision.io is the world's largest Digital Asset & Financial Data Hub.,500000,USD,500000,Seed,"47,113",1,https://www.linkedin.com/company/fullvision-io,,
TheCapitalNet,https://www.crunchbase.com/organization/thecapitalnet-inc,SaaS,"Menlo Park, California, United States",TheCapitalNet is a unified global platform for the startup investments ecosystem,500000,USD,500000,Seed,"48,159",1,https://www.linkedin.com/company/thecapitalnet/,http://www.thecapitalnet.com,"Manish Gupta, Rakesh Bhatia, Sandeep Reddy Pallavolu, Vijaykanth V Krishnamoorthy"
Persp3ctive,https://www.crunchbase.com/organization/persp3ctive,"Augmented Reality, DSP, Music, Software, Software Engineering, Virtual Reality","Los Angeles, California, United States",Next gen VR/AR tools for creative professionals.,500000,USD,500000,Seed,"51,046",2,https://linkedin.com/company/persp3ctive,https://persp3ctive.com/,"Gregory Barbone, Jacob Maymudes, Ryan Gilligan"
CarDog inc.,https://www.crunchbase.com/organization/cardog-inc-49da,"Automotive, GPS, Information Technology, Parking, Software","New York, New York, United States",Pay-by-Car hands free payments that driver make when behind the wheel,500000,USD,500000,Seed,"55,005",2,,https://parkapp.ru,Eugene Liebermann-Sypin
Datavision,https://www.crunchbase.com/organization/datavision-35f4,"Information Technology, Machine Learning, Software","Barcelona, Catalonia, Spain",AI Ops platform. Machine Learrning. Log Analytics. APM. Cybersecurity.,500000,USD,500000,Seed,"55,838",1,https://www.linkedin.com/company/datavision-ai,https://datavision.io,"Alejandro Gonzalez, Jose-Maria Lianes"
Planogy,https://www.crunchbase.com/organization/planogy,"Collaboration, Developer Tools, Enterprise Software, SaaS, Software","San Francisco, California, United States","Saas, BtoB, Software Design Tool, Collaboration",500000,USD,500000,Seed,"57,195",1,https://www.linkedin.com/company/planogy/,https://planogy.com/,"Bulent Tastan, Kazuki Nakayashiki"
Nyoobe,https://www.crunchbase.com/organization/nyoobe,"Marketing, Software","Jacksonville, Florida, United States",Nyoobe is a mobile application where anyone can refer any product or service anywhere.,500000,USD,500000,Seed,"59,791",1,https://nyoobe.com/,https://nyoobe.com/,"Derek Tippins, Michael Lee"
SourceMaven,https://www.crunchbase.com/organization/sourcemaven,"Computer, Information Technology, Software","Washington, District of Columbia, United States",Serving the Talent Acquisition industry with tools to increase the efficiency and quality of hiring.,500000,USD,500000,Seed,"85,935",1,https://www.linkedin.com/company/sourcemaven/,http://sourcemaven.io,"Arjun Gupta, Bernard Vanderydt"
SituIQ,https://www.crunchbase.com/organization/situiq,"Artificial Intelligence, Big Data, Information Technology, Robotics, Software","Bainbridge Island, Washington, United States","IoT as a Service, AI, Sensors, Invention Hub",500000,USD,500000,Seed,"103,550",1,https://www.linkedin.com/company/situiq/,https://www.situiq.com/,"Dan Preston, Mauricio Gonzalez de la Fuente"
ICSEC,https://www.crunchbase.com/organization/icsec,"Cyber Security, Industrial, Information Technology, Network Security, Security, Software","Poznan, Wielkopolskie, Poland",ICSEC is a cybersecurity software company focused on protecting industrial control networks.,2100000,PLN,498872,Series A,"27,015",3,https://www.linkedin.com/company/icsecsa/about/,http://www.icsec.pl,"Marek Smolik, Robert Juszczyk"
Berdac,https://www.crunchbase.com/organization/berdac,"Health Care, Information Technology, Software","Barcelona, Catalonia, Spain",IMA Smart Pill Dispenser Company,445000,EUR,494127,Seed,"45,219",1,https://www.linkedin.com/company/berdac/,https://berdac.com/,Roger Guasch
Aplas,https://www.crunchbase.com/organization/aplas,"Information Technology, SaaS, Software","Melbourne, Victoria, Australia",Aplas is a software mapping platform.  It allows anyone to understand software at scale.,650000,AUD,491990,Seed,"51,563",1,https://www.linkedin.com/company/aplas/,https://aplas.com/,Mark Crawshaw
Continually,https://www.crunchbase.com/organization/continually,"E-Commerce, Information Technology, Internet, Messaging, Software","Belfast, Belfast, United Kingdom",Never miss a lead from your website,350000,GBP,486674,Seed,"44,024",1,https://www.linkedin.com/company/continually/?originalSubdomain=in,http://continual.ly,Paul McKeever
LIFEdata AI,https://www.crunchbase.com/organization/lifedata-ai,"Artificial Intelligence, Big Data, E-Commerce, Knowledge Management, Machine Learning, Natural Language Processing, Predictive Analytics, Productivity Tools, SaaS, Software","Milan, Lombardia, Italy","LIFEdata is an AI Voice SaaS platform that turns speech (and instant messaging) into action, powering the Omni-Channel User Experience.",415000,EUR,458628,Seed,"29,884",1,https://www.linkedin.com/company/lifedata-ai/,https://lifedata.ai,Omar Fogliadini
nCore,https://www.crunchbase.com/organization/ncore-hr,"Human Resources, Information Technology, Recruiting, Software, Video","Milan, Lombardia, Italy",nCore HR is a modern video ATS/Recruiting & Video Interview software.,400000,EUR,458220,Seed,"60,727",2,https://www.linkedin.com/company/company-ncore/,https://www.ncorehr.com/en/,"Aldo Toja, Enrico Ariotti"
Concentric Health,https://www.crunchbase.com/organization/concentric-health,"Health Care, Medical, Software","Cardiff, Cardiff, United Kingdom",Transforming decisions about our health,350000,GBP,456925,Seed,"60,941",1,https://www.linkedin.com/company/concentrichealth/,https://concentric.health/,"Dafydd Loughran, Edward St John, Martyn Loughran"
Billte AG,https://www.crunchbase.com/organization/billte,"Billing, Credit, FinTech, Payments, Software","Adliswil, Zurich, Switzerland",Billte is an online end-to-end invoicing software that does not need installation or maintenance.,450000,CHF,453080,Seed,"48,421",1,https://www.linkedin.com/company/11168132/,http://www.billte.ch,"Andrea Girasole, Danny Thuering, Vaida Ališauskaitė"
Byga,https://www.crunchbase.com/organization/byga,"Non Profit, Payments, Software, Sports","Los Altos, California, United States",Byga is a comprehensive integrated clubs sports platform.,450000,USD,450000,Seed,"46,611",1,https://www.linkedin.com/company/byga/about/,https://www.byga.net,
InterGen Data,https://www.crunchbase.com/organization/intergen-data,"Artificial Intelligence, Banking, Financial Services, Insurance, Machine Learning, Software","Plano, Texas, United States","Develops proprietary AI/ML algo's to predict when Life Events may occur, what it could be, & how much of a financial impact it would make.",450000,USD,450000,Seed,"47,289",1,https://www.linkedin.com/company/intergen-data-inc/?originalSubdomain=in,http://www.intergendata.com/,Robert Kirk
